,ID,SMILES,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
871,DB01046,[H][C@@]12CC(=O)[C@H](CCCCCCC(O)=O)[C@@]1([H])CC[C@@](O)(O2)C(F)(F)CCCC,390.22178056399997,4,2,4.309900000000003,True
872,DB01047,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)COC(C)=O,494.21160980399986,7,1,2.9376000000000015,True
873,DB01048,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,286.154209196,7,3,1.0922999999999998,True
874,DB01050,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,206.130679816,1,1,3.073200000000001,True
875,DB01051,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](OC2=C(C)C3=C(C=C2)C(O)=C(NC(=O)C2=CC=C(O)C(CC=C(C)C)=C2)C(=O)O3)OC1(C)C,612.2319099719999,11,5,3.6271200000000032,False
876,DB01053,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O,334.09872805599997,4,2,0.8607999999999993,True
877,DB01054,CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,360.1321363599999,7,1,2.5657000000000005,True
878,DB01056,CC(N)C(=O)NC1=C(C)C=CC=C1C,192.126263132,2,2,1.5891399999999998,True
879,DB01057,CCOP(=O)(OCC)SCC[N+](C)(C)C,256.11307764609,4,0,2.6069000000000004,True
880,DB01058,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,312.18377800799993,2,0,2.5349000000000004,True
881,DB01059,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1,319.13321965600005,5,2,1.2683000000000002,True
